,source,target,value
0,ENP Alger,ENP Alger,138
1,ENP Oran,ENP Oran,119
2,ENSH Blida,ENSH Blida,84
3,ESTI Annaba,ESTI Annaba,82
4,ESSA Tlemcen,ESSA Tlemcen,63
5,ENSERDD Batna,ENSERDD Batna,60
6,ENSTP Kouba,ENSTP Kouba,60
7,ENP Constantine,ENP Constantine,58
8,ENSTP Kouba,ENP Alger,53
9,ESGEE Oran,ESGEE Oran,51
10,ESGEE Oran,ENP Oran,44
11,ENST Alger,ESTI Annaba,41
12,ESSA Alger,ESTI Annaba,32
13,ESSA Alger,ENP Alger,29
14,ENSMM Annaba,ESTI Annaba,25
15,ENSH Blida,ESTI Annaba,24
16,HORS ECOLE,ENSH Blida,22
17,ESTI Annaba,ENP Constantine,21
18,ESSA Alger,ESSA Alger,20
19,ENSH Blida,ENP Alger,20
20,ENSH Blida,ENSTP Kouba,19
21,ENSMM Annaba,ENSMM Annaba,18
22,HORS ECOLE,ESTI Annaba,18
23,ENSTP Kouba,ESTI Annaba,17
24,ENST Alger,ENST Alger,16
25,HORS ECOLE,ENP Oran,16
26,ENP Alger,ESSA Alger,16
27,ENSH Blida,ENP Oran,16
28,ESSA Tlemcen,ENP Oran,15
29,ENSH Blida,ESGEE Oran,14
30,ESTI Annaba,ENP Alger,14
31,ENP Oran,ESGEE Oran,13
32,ESTI Annaba,ENSMM Annaba,13
33,ENP Constantine,ENSERDD Batna,12
34,ENP Alger,ENSH Blida,12
35,ENSMM Annaba,ENP Constantine,11
36,ENST Alger,ESSA Alger,11
37,ENP Oran,ENSH Blida,11
38,ESSA Tlemcen,ENSH Blida,10
39,ESSA Tlemcen,ESTI Annaba,10
40,ENSH Blida,ENP Constantine,9
41,ESGEE Oran,ENSH Blida,9
42,ENP Constantine,ENP Oran,9
43,ENSH Blida,ESSA Alger,9
44,ESTI Annaba,ENP Oran,9
45,ENSMM Annaba,ENP Alger,9
46,HORS ECOLE,ENSMM Annaba,8
47,ESTI Annaba,ESSA Alger,8
48,HORS ECOLE,ESGEE Oran,7
49,ENST Alger,ENSTP Kouba,7
50,ENST Alger,ENSH Blida,7
51,ESSA Alger,ENSTP Kouba,7
52,ENSTP Kouba,ESSA Alger,6
53,ENST Alger,ENP Oran,6
54,HORS ECOLE,ESSA Alger,6
55,HORS ECOLE,ENSTP Kouba,6
56,ENP Alger,ENP Constantine,6
57,ESSA Tlemcen,ENSTP Kouba,6
58,ESGEE Oran,ENSERDD Batna,6
59,ENSERDD Batna,ENP Constantine,6
60,ESGEE Oran,ENP Alger,6
61,ENST Alger,ENP Alger,6
62,ENSERDD Batna,ENSH Blida,6
63,ENSERDD Batna,ESTI Annaba,6
64,ENP Constantine,ESSA Alger,6
65,ESTI Annaba,ENSERDD Batna,6
66,ENSTP Kouba,ENP Oran,5
67,ENP Alger,ENSTP Kouba,5
68,HORS ECOLE,ENSERDD Batna,5
69,ENP Alger,ESTI Annaba,5
70,ENSH Blida,ESSA Tlemcen,5
71,ENP Constantine,ENP Alger,4
72,ENP Oran,ENP Alger,4
73,ESGEE Oran,ENSMM Annaba,4
74,ESSA Tlemcen,ESGEE Oran,4
75,ENP Constantine,ESTI Annaba,4
76,ESSA Tlemcen,ENSERDD Batna,4
77,ENSERDD Batna,ENSMM Annaba,4
78,ESSA Tlemcen,ENSMM Annaba,4
79,ENST Alger,ESGEE Oran,4
80,ENST Alger,ENSERDD Batna,4
81,ENSMM Annaba,ESSA Alger,4
82,ESSA Alger,ENP Constantine,4
83,ESSA Alger,ENSERDD Batna,3
84,ENP Alger,ENP Oran,3
85,ESTI Annaba,ENSTP Kouba,3
86,ENP Alger,ENSERDD Batna,3
87,ESSA Alger,ENP Oran,3
88,ENP Oran,ENSMM Annaba,3
89,ESGEE Oran,ESSA Tlemcen,3
90,ENSMM Annaba,ENSERDD Batna,3
91,ENSH Blida,ENST Alger,3
92,ENSH Blida,ENSERDD Batna,3
93,ENP Oran,ESSA Tlemcen,3
94,ENP Oran,ENSERDD Batna,3
95,ENSERDD Batna,ENP Alger,3
96,ENSTP Kouba,ENSH Blida,3
97,ENSTP Kouba,ESSA Tlemcen,2
98,ENST Alger,ENSMM Annaba,2
99,ENP Constantine,ENSMM Annaba,2
100,HORS ECOLE,ENP Alger,2
101,HORS ECOLE,ENP Constantine,2
102,ENP Constantine,ENSH Blida,2
103,ESSA Tlemcen,ENP Alger,2
104,ESSA Alger,ENST Alger,2
105,HORS ECOLE,ESSA Tlemcen,2
106,ESTI Annaba,ENST Alger,2
107,ENSERDD Batna,ENSTP Kouba,1
108,ENSERDD Batna,ESGEE Oran,1
109,ENSMM Annaba,ENP Oran,1
110,ENSERDD Batna,ENP Oran,1
111,ENP Oran,ESTI Annaba,1
112,ENP Oran,ESSA Alger,1
113,ENP Alger,ESSA Tlemcen,1
114,ESTI Annaba,ENSH Blida,1
115,ENSMM Annaba,ENSH Blida,1
116,ESGEE Oran,ESTI Annaba,1
117,ENSMM Annaba,ESGEE Oran,1
118,ENP Alger,ENST Alger,1
119,ESSA Tlemcen,ESSA Alger,1
120,ENST Alger,ENP Constantine,1
121,ENST Alger,ESSA Tlemcen,1
122,ENSTP Kouba,ESGEE Oran,1
123,ESSA Tlemcen,ENP Constantine,1
124,ENP Oran,ENSTP Kouba,1
125,ESGEE Oran,ENSTP Kouba,1
126,ESGEE Oran,ESSA Alger,1
127,ESSA Alger,ENSH Blida,1
128,ENP Constantine,ENST Alger,1
